species,aadA
A-baumannii-104,1
A-baumannii-106,0
A-baumannii-120,1
A-baumannii-126,0
A-baumannii-128,1
A-baumannii-133,1
A-baumannii-138,1
A-baumannii-156,1
A-baumannii-21,1
A-baumannii-221,1
A-baumannii-222,1
A-baumannii-223,1
A-baumannii-24,0
A-baumannii-35,1
A-baumannii-78,0
A-baumannii-86,0
A-baumannii-91,1
A-baumannii-97,1
A-calcoaceticus-54,0
A-gerneri-198,0
A-junii-150,0
A-junii-81,0
A-junii-82,0
A-oleivorans-117,0
A-oleivorans-118,0
A-oleivorans-152,0
A-oleivorans-154,0
A-oleivorans-52,0
A-oleivorans-56,0
A-oleivorans-62,0
A-oleivorans-68,1
A-oleivorans-75,0
A-pitti-112,1
A-pitti-149,0
A-pitti-50,0
A-pitti-77,1
A-schindleri-93,0
A-soli-85,0
A-towneri-193,0
A-towneri-194,0
A-towneri-196,0
A-towneri-203,0
A-towneri-206,0
A-towneri-227,0
A-towneri-234,0
A-towneri-236,0
A-towneri-238,0
A-variabilis-178,0
A-variabilis-188,0
Agitococcus-lubricus-DSM-5822,0
GCA_000069205.1_ASM6920v1_genomic,1
GCA_000156555.1_ASM15655v1_genomic,0
GCA_000162035.1_ASM16203v1_genomic,0
GCA_000162055.1_ASM16205v1_genomic,0
GCA_000162075.1_ASM16207v1_genomic,0
GCA_000162095.1_ASM16209v1_genomic,0
GCA_000162375.2_Acin_sp_RUH2624_V1_genomic,0
GCA_000164055.1_ASM16405v1_genomic,0
GCA_000186565.1_ASM18656v1_genomic,1
GCA_000191145.1_ASM19114v1_genomic,1
GCA_000196795.1_ASM19679v1_genomic,0
GCA_000215005.2_AcbauOIFC032v1.0_genomic,1
GCA_000241225.2_ASM24122v2_genomic,0
GCA_000264725.1_ASM26472v1_genomic,0
GCA_000286595.1_gacin12v1.0_genomic,0
GCA_000292385.1_ASM29238v1_genomic,0
GCA_000297575.1_gacin25v1.0_genomic,1
GCA_000301675.1_ASM30167v1_genomic,0
GCA_000301835.1_ASM30183v1_genomic,1
GCA_000302295.1_ASM30229v1_genomic,0
GCA_000304675.1_GACIN20v1.0_genomic,1
GCA_000305275.1_gacin22v1.0_genomic,1
GCA_000308235.2_ASM30823v2_genomic,0
GCA_000309035.1_ASM30903v1_genomic,0
GCA_000314615.1_gacin30v1.0_genomic,0
GCA_000335575.1_gacin41v1.0_genomic,0
GCA_000338835.1_454_genomic,1
GCA_000367865.1_Acin_calc_NIPH_13_V1_genomic,0
GCA_000367925.1_Acin_sp_ANC_3994_V1_genomic,0
GCA_000367945.1_Acin_sp_NIPH_809_V1_genomic,0
GCA_000368005.1_Acin_parv_NIPH_1103_V1_genomic,0
GCA_000368025.1_Acin_parv_CIP108168_V1_genomic,0
GCA_000368065.1_Acin_sp_NIPH_973_V1_genomic,0
GCA_000368085.1_Acin_noso_NIPH_2119_V1_genomic,0
GCA_000368145.1_Acin_guil_CIP_63_46_V1_genomic,0
GCA_000368165.1_Acin_lwof_NIPH_715_V1_genomic,0
GCA_000368205.1_Acin_baum_NIPH_615_V1_genomic,1
GCA_000368285.1_Acin_sp_CIP_102159_V1_genomic,0
GCA_000368305.1_Acin_sp_CIP_102129_V1_genomic,0
GCA_000368345.1_Acin_sp_NIPH_758_V1_genomic,0
GCA_000368385.1_Acin_sp_NIPH_899_V1_genomic,0
GCA_000368425.1_Acin_sp_CIP_102637_V1_genomic,0
GCA_000368465.1_Acin_schi_NIPH_900_V1_genomic,0
GCA_000368485.1_Acin_guil_NIPH_991_V1_genomic,0
GCA_000368505.1_Acin_bere_NIPH_3_V1_genomic,0
GCA_000368525.1_Acin_baum_NIPH_190_V1_genomic,1
GCA_000368545.1_Acin_baum_NIPH_60_V1_genomic,1
GCA_000368565.1_Acin_gern_CIP_107464_V1_genomic,0
GCA_000368585.1_Acin_vene_CIP_110063_V1_genomic,0
GCA_000368605.1_Acin_noso_NIPH_386_V1_genomic,0
GCA_000368625.1_Acin_schi_CIP107287_V1_genomic,0
GCA_000368645.1_Acin_bris_ANC_4119_V1_genomic,0
GCA_000368705.1_Acin_soli_CIP_110264_V1_genomic,0
GCA_000368725.1_Acin_soli_NIPH_2899_V1_genomic,0
GCA_000368745.1_Acin_juni_NIPH_182_V1_genomic,0
GCA_000368785.1_Acin_town_CIP_107472_V1_genomic,0
GCA_000368805.1_Acin_john_ANC_3681_V1_genomic,0
GCA_000368885.1_Acin_radi_NIPH_2130_V1_genomic,0
GCA_000368905.1_Acin_radi_CIP_103788_V1_genomic,0
GCA_000368945.1_Acin_calc_ANC_3680_V1_genomic,0
GCA_000369085.1_Acin_haem_NIPH_261_V1_genomic,0
GCA_000369125.1_Acin_lwof_CIP_70_31_V1_genomic,0
GCA_000369145.1_Acin_lwof_NIPH_478_V1_genomic,0
GCA_000369165.1_Acin_baum_NIPH_201_V1_genomic,1
GCA_000369225.1_Acin_baum_NIPH_329_V1_genomic,1
GCA_000369265.1_Acin_baum_NIPH_67_V1_genomic,1
GCA_000369345.1_Acin_baum_NIPH_80_V1_genomic,1
GCA_000369445.1_Acin_sp_NIPH_713_V1_genomic,0
GCA_000369465.1_Acin_sp_CIP_53_82_V1_genomic,0
GCA_000369565.1_Acin_sp_ANC_3862_V1_genomic,0
GCA_000369585.1_Acin_sp_CIP_101934_V1_genomic,0
GCA_000369605.1_Acin_sp_NIPH_1847_V1_genomic,0
GCA_000369685.1_Acin_sp_CIP_102136_V1_genomic,0
GCA_000369705.1_Acin_sp_NIPH_2168_V1_genomic,0
